"","datetime","city","country","shape"
"52631",1987-06-01,"ithaca","us","other"
"52650",1988-06-01,"mankato","us","other"
"52662",NA,"valentine","us","other"
"64798",2001-07-20,"cairns (qld&#44 australia)","au","cylinder"
"42858",1997-04-23,"seattle","us",""
"60076",2013-06-06,"mount vernon","us","light"
"8163",2013-10-09,"oltenita (calarasi) (romania)","","circle"
"75231",1965-08-20,"new york city (brooklyn)","us","cylinder"
"15862",1982-01-14,"fort lee","","disk"
"22089",2012-12-22,"phoenix","us","fireball"
"12170",2003-01-01,"grimsby (uk/england)","gb","light"
"28541",2004-02-11,"wareham","us","light"
"53194",2009-06-01,"mesa","us","other"
"43371",2012-04-25,"spring","us","sphere"
"8233",2000-01-10,"erie (area)","us","unknown"
"38297",2003-03-03,"glendale","us","unknown"
"13427",2010-11-02,"coos bay","us","triangle"
"43331",2008-04-25,"wellington","us","egg"
"56652",2002-06-22,"butte","us","formation"
"56101",2009-06-20,"workey","","other"
"75100",2007-08-19,"gansevoort","us","unknown"
"75168",2011-08-19,"tucson","us","unknown"
"15776",2012-11-03,"carrboro","us","triangle"
"13272",2005-01-12,"college city","us","disk"
"69893",2011-07-05,"utah valley","","circle"
"11818",2006-11-19,"center valley","us","disk"
"84617",2010-09-21,"fountain","us","oval"
"63278",2000-07-15,"houston","us","other"
"70877",1997-07-09,"olathe","us","light"
"41223",1996-04-16,"pleasant hill","us",""
"48495",2007-05-02,"davis","us","circle"
"59481",2004-06-04,"adrian","us","circle"
"18888",2012-12-10,"fort myers","us","fireball"
"7666",2008-10-07,"lyman","us","flash"
"7081",2013-10-04,"homestead","us","formation"
"11246",2001-11-17,"auburn","us","formation"
"1507",2010-10-13,"richmond","us","sphere"
"84610",2009-09-21,"havant (uk/england)","gb","teardrop"
"65893",2010-07-23,"midland","us","other"
"6983",2006-10-04,"sunderland (uk/england)","gb","circle"
"19531",2013-12-01,"pueblo","us","other"
"76847",2012-08-24,"rockford","us","circle"
"11624",2010-11-18,"topeka","us","cylinder"
"29560",1998-02-15,"duluth","us","flash"
"73762",2000-08-15,"chandler","us","light"
"82120",2007-09-13,"somerset (uk/england)k","","light"
"85556",2013-09-23,"muskogee","us","light"
"4479",2006-10-23,"hudson","us","triangle"
"54081",1968-06-15,"mariposa","us","unknown"
